#Cfactor 0.0730447
Recipient	pg_14682_TAS	pg_14687_TAS	pg_14689_TAS	pg_14690_TAS	pg_14693_TAS	pg_14702_TAS	pg_14709_TAS	pg_14711_TAS	pg_14712_TAS	pg_14718_TAS	pg_14720_TAS	pg_14725_VIC	pg_14735_VIC	pg_14747_VIC	pg_14749_VIC	pg_14753_VIC	pg_14755_VIC	pg_14756_VIC	pg_14757_VIC	pg_14758_VIC	pg_14759_VIC	pg_14761_VIC	pg_14762_VIC	pg_14763_VIC	pg_14764_VIC	pg_14766_VIC	pg_14767_VIC	pg_14768_VIC	pg_14769_VIC	pg_14770_VIC	pg_14771_VIC	pg_14776_VIC	pg_14777_VIC	pg_14778_VIC	pg_14779_VIC	pg_14781_VIC	pg_14783_VIC	pg_14784_VIC	pg_14785_VIC	pg_14786_VIC	pg_14787_VIC	pg_14789_VIC	pg_14790_VIC	pg_14791_VIC	pg_14792_VIC	pg_14793_VIC	pg_14796_VIC	pg_14798_VIC	pg_14799_VIC	pg_14800_VIC	pg_14810_VIC	pg_14812_VIC	pg_14814_VIC	pg_14815_VIC	pg_14818_VIC	pg_15516_CHI	pg_15518_CHI	pg_15520_CHI	pg_15529_CHI	pg_15535_CHI	pg_15537_CHI	pg_15538_CHI	pg_15541_CHI	pg_15545_CHI	pg_15546_CHI	pg_15547_CHI	pg_15550_CHI	pg_15551_CHI	pg_15552_CHI	pg_15556_CHI	pg_15559_CHI	pg_15560_CHI	pg_15562_CHI	pg_15563_CHI	pg_15565_CHI	pg_15567_CHI	pg_15571_CHI	pg_15575_CHI	pg_15578_CHI	pg_15579_CHI	pg_15581_CHI	pg_15586_CHI	pg_15588_CHI	pg_15595_CHI	pg_15603_CHI	pg_15605_CHI	pg_15606_CHI	pg_15609_CHI	pg_15611_CHI	pg_15905_NZN	pg_15906_NZN	pg_15907_NZN	pg_15909_NZN	ph_15910_NZN	ph_15911_NZN	pg_15912_NZN	pg_15913_NZN	pg_15915_NZN	ph_15916_NZN	pg_15917_NZN	pg_15918_NZN	pg_15920_NZN	pg_15921_NZN	pg_15923_NZN	pg_15924_NZN	pg_15926_NZN	pg_15927_NZN	pg_15928_NZN	pg_15929_NZN	pg_15930_NZN	pg_15931_NZN	pg_15932_NZN	pg_15934_NZN	pg_15937_NZN	pg_15938_NZN	pg_15940_NZN	pg_15942_NZN	pg_15943_NZN	pg_15944_NZN	pg_15946_NZN	pg_15948_NZN	pg_15949_NZN	pg_15950_NZN	pg_15951_NZN	pg_15952_NZN	pg_15953_NZN	pg_15954_NZN	pg_15955_NZN	pg_15957_NZN	pg_15958_NZN	pg_15959_NZN	pg_15963_NZN	pg_15975_NZN	pg_15980_NZN	pg_15981_NZN	pg_15982_NZN	pg_15984_NZN	pg_15986_NZN	pg_15987_NZN	pg_15988_NZN	pg_15991_NZN	pg_15993_NZN	pg_15995_NZN	pg_15997_NZN	ph_16000_NZS	ph_16002_NZS	ph_16003_NZS	ph_16009_NZS	ph_16010_NZS	ph_16012_NZS	pg_16022_NZS	pg_16025_NZS	pg_16034_NZS	pg_16037_NZS	pg_16039_NZS	pg_16040_NZS	pg_16042_NZS	pg_16043_NZS	pg_16045_NZS	pg_16046_NZS	pg_16056_NZS	pg_16057_NZS	pg_16067_NZS	pg_16068_NZS	pg_16069_NZS	pg_16070_NZS	pg_16073_NZS	pg_16074_NZS	pg_16075_NZS	pg_16076_NZS	pg_16077_NZS	pg_16078_NZS	pg_16079_NZS	pg_16080_NZS	pg_16081_NZS	pg_16084_NZS	pg_16089_NZS	pg_16091_NZS	pg_16092_NZS	pg_16093_NZS	pg_16094_NZS	pg_16096_NZS	pg_16097_NZS	pg_16099_NZS	pg_16100_NZS	pg_16101_NZS	pg_16104_NZS	pg_16106_NZS	pg_16107_NZS	pg_16108_NZS	pg_16111_NZS	pg_16112_NZS	pg_16113_NZS	pg_16114_NZS	pg_16115_NZS	pg_16116_NZS	pg_16117_NZS	pg_16119_NZS	pg_16122_NZS	pg_16123_NZS	pg_16124_NZS	pg_16126_NZS	pg_16128_NZS	pg_16130_NZS	pg_16131_NZS	pg_16132_NZS	pg_16134_NZS	pg_16135_NZS	ph_16138_PHO	ph_16139_PHO	ph_16140_PHO	ph_16141_PHO	pg_16142_CHI	pg_17204_CAM	pg_17206_NZS	pg_17208_NZS
pg_14682_TAS	0	9.77139	11.0573	10.3076	11.7087	10.856	10.9683	12.6147	10.5509	11.6192	10.3357	9.38542	10.6928	8.03318	9.76925	10.1809	10.2374	10.0743	9.57716	10.5863	6.20396	6.49826	10.4684	10.7173	12.6091	10.1904	9.91536	11.2242	10.196	9.3724	9.48162	9.60451	10.5417	8.45792	10.5845	10.1426	11.8703	10.7052	11.7745	10.2746	10.955	10.8302	9.95257	12.1051	10.4681	10.6452	11.8393	11.5065	10.0333	10.6095	9.27118	10.2384	10.6974	10.5114	6.63709	6.86741	6.5965	7.4759	8.08763	7.22384	6.84569	6.91616	7.08607	7.58113	7.39762	7.5259	7.2808	7.42538	7.58792	7.38449	7.77797	7.56285	8.02608	7.82435	7.44253	7.3939	7.34177	7.55169	7.46247	7.41778	7.36204	7.38381	8.34815	7.35222	7.56946	7.19326	7.34648	7.54412	7.58273	7.04318	7.40239	7.73675	7.72523	6.99695	6.6268	6.71025	7.03358	7.1497	6.45114	8.98138	7.23276	6.51588	6.33623	6.91743	6.598	7.20042	7.30144	7.77658	8.29196	7.30828	7.55788	7.31299	6.34764	7.1349	6.42898	7.49703	6.0593	6.47045	6.4825	6.70905	6.45174	6.0383	6.05782	6.23792	6.31452	7.38365	6.63261	6.02917	6.46795	6.3959	7.48509	6.7451	6.33768	7.2348	6.23236	6.37332	5.97004	7.52505	6.15198	6.84304	6.86542	6.06692	7.6924	5.78985	6.96228	6.65656	6.9587	7.0572	6.46129	6.75842	6.78069	7.36416	7.26195	6.78589	7.04777	8.72087	7.1439	7.39104	7.07847	7.57101	8.16147	7.69403	7.53901	6.73069	10.0026	7.6795	6.93261	7.61279	7.43318	6.53192	7.31747	11.6472	7.48068	7.68689	7.07823	7.04653	8.01008	7.71943	7.21119	7.46788	7.89207	7.93635	7.35917	7.39967	7.19993	7.42624	8.06051	7.38319	7.91653	7.08938	7.08891	7.69238	7.4651	7.52718	7.34466	7.37716	6.41072	6.2428	6.73386	5.88544	6.5211	6.56818	7.65308	5.81535	6.59022	6.33965	7.25545	6.34283	6.39216	6.49774	6.58037	6.78129	6.66784	7.9542	7.68619	7.05444
pg_14687_TAS	9.97404	0	12.1947	14.7562	12.5682	9.70238	13.5931	9.92835	9.94604	9.87412	13.8864	10.8299	9.7482	7.30122	9.3142	9.15759	9.33405	9.33514	8.91638	8.46739	6.61913	7.06985	10.6638	10.7979	10.5013	11.0908	9.48989	9.30808	12.481	10.4803	9.48939	10.1115	10.8571	8.73698	10.9639	9.90928	10.114	10.0002	11.142	10.5453	9.88129	10.4009	10.2127	9.49191	11.0272	11.0456	10.6629	10.413	10.089	9.425	9.68738	10.1981	11.7532	11.0154	7.99133	6.75577	6.90612	7.66249	7.07841	6.91415	6.32884	6.90803	7.89755	7.41299	7.16145	7.74564	6.95371	7.33624	7.33333	7.37478	7.41274	7.57917	7.07941	7.44224	7.08538	7.42977	7.39884	7.50003	7.112	7.24078	7.14927	7.00345	7.7111	6.7893	7.77103	7.22769	7.34735	7.37663	7.8071	8.29351	8.51418	7.46353	7.29519	6.55619	6.40675	6.65903	7.20815	7.78782	6.53766	7.5324	8.81442	6.38184	6.5344	7.8005	6.35321	7.95461	7.32795	7.71391	7.2009	7.15053	7.60122	11.5248	7.6015	7.62486	6.52984	7.49007	6.84984	6.04151	6.70808	6.55906	6.22289	5.9108	6.3869	6.39553	6.4438	7.66985	6.15692	6.63711	6.95967	6.2923	7.90057	6.4214	6.75929	6.99278	5.80885	6.57857	6.24913	7.46896	6.50681	7.1209	6.5465	6.24349	7.05328	6.09268	6.26195	6.38011	6.08248	6.47447	6.33659	5.97535	8.23668	7.77475	7.50505	6.30434	8.03945	7.51259	7.58891	8.11159	6.72848	7.88147	7.39046	7.99256	7.52513	6.85498	7.19338	7.26352	7.78185	7.9009	7.37979	6.84421	6.96274	7.05132	7.52085	7.28606	7.18116	7.83139	7.81364	7.49841	7.12163	7.579	8.123	7.66873	7.11816	7.88179	7.56649	7.25197	14.0676	7.28425	7.77375	7.82315	7.12871	7.43247	7.39142	7.21001	7.28393	7.25867	5.89107	6.21015	7.86664	5.96672	6.37752	6.16285	7.53373	5.99334	6.10183	6.18978	7.59491	6.71337	6.12297	6.1386	6.47546	6.29717	7.55443	7.19839	8.24014	7.37638
pg_14689_TAS	10.8222	11.9977	0	26.5915	11.4794	10.0616	10.7805	10.5874	10.6795	11.049	10.6464	9.87144	9.5337	6.72207	9.68874	9.78878	10.0257	9.75778	9.56748	9.66407	6.86789	6.87948	10.0975	10.1163	10.8599	10.2481	9.5902	10.47	8.99227	9.29405	9.64514	9.97747	10.3986	9.68626	11.2707	10.2309	9.33548	10.7856	10.2567	10.9876	9.53291	9.59982	10.8108	10.9017	11.3291	10.3716	9.88773	10.664	10.5031	10.6986	10.1774	11.1601	25.7807	27.7777	6.87504	6.66358	6.64827	6.89083	7.2696	7.34133	6.2568	6.68813	7.30763	7.3537	7.19776	7.6547	7.13286	7.35567	7.33855	6.98776	7.29447	7.31388	7.2802	7.40227	7.16191	7.15536	7.38778	7.19973	7.32192	6.99114	7.16884	7.17463	7.22682	7.21421	7.23987	7.35576	7.24739	7.44547	7.49299	7.20236	7.08702	7.20106	7.09668	6.44461	6.47358	6.59267	7.09118	7.36332	6.44108	7.1426	7.25683	6.12352	6.91066	6.99034	6.81368	7.24015	7.42367	7.50739	7.0938	7.55598	7.41607	7.262	6.24044	7.19634	6.28195	6.28136	6.20801	6.31804	6.2222	6.50113	6.13609	5.97405	5.9966	6.42149	5.98033	7.6265	6.27896	6.06937	6.16439	6.23997	7.39306	6.36895	6.40476	7.29015	6.11624	6.48847	6.13094	7.02078	6.3179	7.03967	6.47221	5.88523	7.23922	5.98036	6.5365	6.34721	6.4709	6.46882	6.20935	6.25674	7.3786	7.5275	7.19046	6.58921	7.05711	7.36646	6.96871	7.05703	6.98937	7.61665	7.43445	7.24614	7.14494	6.54326	7.84079	7.69546	7.79965	7.07256	7.21166	6.34947	7.10018	7.01259	7.36003	7.07435	7.11656	7.31849	7.1442	7.26949	7.01333	7.35179	7.70198	8.18045	7.22747	7.48031	7.59538	7.3285	7.07457	7.81248	7.55542	7.19605	7.25743	7.06448	7.9291	7.13361	7.13494	7.55226	5.90229	6.24462	6.3173	6.20746	6.21741	5.9693	7.53837	5.94769	6.40451	6.21481	7.39164	6.1891	6.37473	6.06277	6.32049	6.42253	6.67405	7.52542	8.03889	7.12944
pg_14690_TAS	10.1319	14.7334	26.7141	0	11.0714	10.1226	11.5116	10.6191	10.0879	11.895	9.9734	10.3937	9.06735	6.71739	9.48216	9.61461	9.78293	9.73109	9.39441	9.55344	6.84716	6.93808	9.90809	10.0856	10.5237	10.3778	9.41655	9.47598	10.1393	9.59122	10.0919	10.2282	10.3656	9.8615	11.3615	10.3472	9.35204	10.6231	10.2848	10.4895	9.30512	9.75924	10.2875	10.5686	11.8021	10.6388	9.50843	10.9068	10.495	10.3439	10.51	11.0919	27.6027	26.8455	6.82132	6.9028	6.88743	6.92466	7.07178	7.09998	6.52106	6.72044	7.10215	7.2511	6.96637	7.44052	6.95328	7.26167	7.33441	6.7825	7.2749	7.23028	7.30921	7.51661	6.99713	6.9398	7.54891	6.77742	7.04962	6.85818	7.19347	7.01352	7.05524	7.40414	7.27138	7.72877	7.19522	7.24061	7.2838	7.21376	6.94725	7.14538	8.04638	6.35072	6.45729	6.6134	7.02854	7.14188	6.27039	6.724	7.32666	5.95877	6.70206	7.1033	6.77524	7.36443	7.15132	8.05102	7.08525	7.29601	7.14466	7.13632	6.41987	7.06722	6.15321	6.23181	6.16598	6.47919	6.41471	6.5107	6.04232	6.23178	5.89258	6.26055	5.98265	7.36557	6.34597	5.94196	6.0489	5.94684	6.94049	6.23808	6.20459	7.28853	6.05596	6.07415	5.88449	6.97008	6.26509	6.85704	6.40422	6.30211	7.06509	6.68033	6.47527	6.45254	6.4567	6.56533	6.19028	6.39682	7.39696	7.78783	7.11604	7.11237	7.04518	7.61172	6.84226	6.98583	6.9249	7.44784	7.54612	7.27703	7.05408	6.5747	7.07741	7.33455	8.67906	7.25194	7.05308	6.22422	7.05129	6.91514	7.9487	7.26126	6.9779	7.44827	7.20218	7.31942	7.09056	6.96638	7.27791	8.03451	6.67324	8.00244	8.22469	7.49774	6.9536	7.147	7.07807	7.40287	7.05654	8.06804	8.05025	7.08259	7.33723	7.21593	5.94369	6.487	6.24332	6.19407	6.17222	6.25518	7.54505	5.92759	6.34521	6.51534	6.93672	6.45683	6.50249	6.17501	6.50092	6.46618	6.77233	7.86935	8.09322	7.16679
pg_14693_TAS	11.4681	12.6189	11.4652	11.2979	0	10.3792	12.115	11.3013	16.506	11.4221	12.0508	9.71411	9.11917	6.98497	9.54549	9.32253	10.0729	9.67135	9.49984	9.23473	6.83978	7.32189	10.1198	10.8966	11.6116	9.90474	9.56868	10.6016	9.05436	9.70956	10.2417	11.3904	11.1521	10.2029	10.626	10.627	10.8892	10.9219	10.9361	10.2484	10.674	10.1302	9.89477	12.5534	10.9241	10.8635	11.86	10.1291	9.78316	10.2303	10.344	10.615	11.3764	11.4053	7.33515	6.4303	7.22884	7.18524	7.83654	6.79152	6.82238	6.89348	6.95132	8.72461	7.58329	7.26423	7.58356	7.27255	7.58217	7.29309	7.32649	7.68357	7.20819	7.61334	7.33767	7.44081	7.25104	7.61248	7.68697	6.96762	7.77632	7.59749	6.99472	7.36404	7.30044	7.37085	7.46425	7.52416	7.55067	7.12166	7.4726	7.50174	7.16028	6.76981	6.59195	6.25255	7.26142	10.8712	6.59341	7.58855	7.49429	7.03133	6.09648	7.30058	6.94944	6.90753	6.8805	7.43168	8.12716	7.54996	7.49673	7.38546	6.2033	7.29195	6.77687	6.80515	6.1544	6.28256	6.21146	6.17684	6.0253	6.24341	9.03321	6.05743	6.49525	7.5624	6.13962	5.93936	6.17307	6.11852	7.62568	6.44843	6.03148	6.7922	6.08879	6.3835	5.44305	6.87107	6.4643	7.21647	6.36845	6.28426	7.11563	6.09476	6.66498	6.56306	6.17983	6.64509	6.49747	6.41972	7.12256	7.62346	7.30645	6.95063	7.20572	7.69025	7.16576	7.44532	7.09185	7.66249	7.44638	7.78755	7.17551	7.08213	8.64455	9.19049	6.92686	7.44402	7.68203	6.90938	7.50444	6.66957	7.53216	7.24219	7.02574	7.42537	7.45705	7.45728	7.3033	7.92147	8.0474	7.37404	7.81565	7.30039	7.7965	7.52619	7.39457	7.45442	7.28818	7.36528	7.22478	6.71722	7.1366	6.9008	7.15956	7.44861	6.34752	6.70036	7.62883	5.2678	7.53329	6.27485	7.76822	6.46265	6.37992	6.20661	7.69321	6.44524	6.62541	6.35391	6.86432	6.24571	6.43142	7.54843	7.74157	7.42744
pg_14702_TAS	10.2899	9.36684	10.4458	10.2354	10.144	0	10.8687	12.9044	16.4838	14.1636	11.4742	9.32899	9.3999	7.45282	10.3704	10.3168	10.0306	9.54065	11.9533	10.5316	7.152	6.76449	10.2474	10.7332	11.1369	12.7981	9.77341	11.773	10.7555	10.7441	10.3274	12.555	8.65701	9.65074	10.671	10.4441	12.9132	9.73667	12.1283	9.4974	11.8032	10.8476	9.61147	9.27724	10.8176	10.3674	10.3978	10.0654	9.94084	9.53223	10.055	10.8224	9.88163	10.1831	7.45294	6.32978	6.75852	6.84735	7.68853	7.29799	7.05965	7.05815	7.42544	7.53746	7.36707	7.28591	7.26495	7.35347	7.52914	7.7495	7.50989	7.76562	7.5572	7.49786	7.61237	8.07548	6.97924	7.39491	7.68308	7.22981	7.75359	7.65765	6.92979	7.87077	7.79809	7.41923	7.55937	7.56272	7.91533	6.93035	7.91446	8.08688	7.6177	6.53298	6.92243	7.0501	7.55547	9.2696	6.40745	7.63156	7.38076	6.51612	6.75623	7.17344	7.17151	7.17167	6.99588	7.71407	7.43936	7.92529	7.38807	6.77217	6.64415	7.6947	6.23365	6.80446	5.82633	5.81663	6.32185	6.50747	5.76735	6.24083	6.2785	6.07904	5.80814	7.40453	6.26767	6.13002	6.45762	5.82948	7.48999	7.41176	6.38308	6.97286	5.98457	6.18062	5.39499	7.11951	6.36254	6.8146	6.16143	6.03759	7.43293	8.08011	7.4482	6.84159	6.53339	6.67991	6.97567	6.20223	7.15656	7.85144	7.80663	6.70426	7.55351	7.83365	7.4329	8.08379	6.87978	7.68867	7.73623	7.47516	7.22894	6.51967	7.1743	7.28715	7.6436	7.42604	7.51352	6.78584	7.32852	6.99181	7.46872	7.00187	7.05917	7.23518	7.2978	7.76425	7.44745	7.82683	7.70534	7.37651	7.21977	7.52396	7.2133	7.47082	7.46872	7.29884	7.72065	7.33284	7.01499	7.73635	6.97067	7.94372	7.21181	7.25997	6.54244	6.78242	5.92818	5.23673	6.37464	6.22978	7.77364	6.00355	6.59529	6.18515	7.10826	5.96064	6.73228	6.89435	6.67681	6.6088	7.2845	8.32445	7.55415	7.44768
pg_14709_TAS	10.9275	13.4814	11.0083	11.5878	12.3102	10.9819	0	12.4681	10.9256	10.9689	12.3524	12.2277	10.9	8.09646	9.49173	10.2184	10.1234	9.56144	9.91017	10.0537	6.35084	7.0036	10.0498	10.0197	10.0743	10.3194	9.56641	10.6328	10.094	9.8945	10.2673	10.3849	9.91202	9.62662	11.5973	9.71595	10.0015	10.1351	10.5583	9.9319	10.6727	11.1918	10.9187	11.01	10.8811	10.0152	10.5961	9.97093	10.8817	9.82722	9.81423	11.2524	10.8974	11.0901	6.67647	6.596	6.30986	6.71365	7.48014	7.177	5.97796	6.77534	6.9146	7.42666	7.35241	7.69685	7.88932	7.47062	7.42505	6.93501	7.28511	7.52161	7.32032	7.50463	7.36731	7.56848	7.0099	7.41292	7.47143	7.46141	7.2849	7.18429	7.06957	7.74111	7.42137	8.73775	7.63856	7.33672	7.29984	7.12761	7.6271	7.41123	7.7145	6.4408	6.3804	6.24571	7.28286	8.02993	6.59233	7.59821	7.60428	6.71971	6.50789	7.11579	6.86376	7.62094	7.42817	7.24468	7.34805	7.25025	7.32386	7.38256	6.48938	7.43034	6.27632	6.41462	6.1749	6.47069	6.56369	6.32682	6.73861	6.20158	6.12279	6.45106	6.33484	7.72871	6.33216	5.95346	6.31745	6.03961	7.62381	6.42358	6.99461	7.22963	6.2772	6.50788	6.56606	7.49844	6.65725	6.99912	6.61039	6.03993	7.12854	6.28448	8.07019	6.52823	6.29726	6.56921	6.25071	6.37274	7.28421	7.59437	7.76552	6.75965	7.6671	8.47919	7.36965	7.8941	6.43619	7.55558	7.25544	7.43141	7.28849	6.92608	7.79988	7.83285	7.38002	8.0535	7.62039	6.70973	7.41474	7.51221	7.81514	7.3612	7.43144	7.29691	7.63584	7.57706	7.60058	7.71875	7.81876	7.46725	7.3539	7.65549	10.343	7.71479	7.73132	7.42839	7.47377	7.50019	7.38735	7.35408	7.88123	7.26367	7.29228	7.33815	6.84096	6.21497	6.94503	6.14811	6.80812	5.954	7.73454	6.05444	6.30945	6.91101	7.43696	7.22821	6.49284	7.36874	6.4477	6.2859	6.7741	8.05442	7.97465	7.18309
pg_14711_TAS	12.353	9.69762	10.6374	10.591	11.0772	12.7311	12.3797	0	26.4992	11.8896	11.5138	10.6393	8.79501	7.2777	9.90436	10.6071	10.3572	10.0492	10.1756	10.0154	6.6957	7.32273	10.4652	10.5019	10.1203	10.773	9.73699	10.2629	8.8082	9.48244	9.5478	9.60252	10.2167	10.0466	10.6346	10.3007	9.79286	9.8466	10.7907	9.9745	10.5869	9.74668	9.55206	11.0759	10.8969	9.91309	10.2011	11.9474	9.87298	10.3859	9.71968	12.3109	10.7999	9.91283	7.03101	6.35104	6.4762	7.19518	7.38194	6.77624	6.68071	6.33569	7.06398	7.13545	8.31655	7.45551	7.53687	7.51472	7.41563	7.36688	8.17029	7.53663	7.39023	7.75089	7.4732	7.20308	7.19015	7.3119	7.73312	7.44296	7.68576	7.17134	6.81953	7.20466	7.44944	7.36348	7.28068	7.40995	7.28337	7.66656	7.38651	7.67207	7.61072	6.67992	6.33084	6.8086	7.99493	7.38555	6.52631	8.56218	7.58913	6.51011	6.40236	7.03383	7.04467	7.52466	7.41162	7.36432	7.55887	7.16374	7.68733	7.24262	6.59685	7.66269	6.67059	6.62865	6.571	6.44373	6.38553	6.32348	6.32822	5.91363	6.15811	7.18641	6.32491	7.97058	6.25235	5.98162	6.3192	6.2912	7.19158	6.41254	6.61787	7.22794	6.25332	6.09307	6.05156	7.23202	6.4458	7.37208	6.34661	6.11602	7.28788	7.01781	6.86386	6.45634	6.09573	6.3808	6.211	6.22747	7.6892	7.72596	7.96923	6.59502	7.40994	7.43256	7.50179	7.65075	7.03325	7.72057	7.49486	7.72667	7.49318	6.97368	7.46605	7.0116	7.73416	7.90556	7.77125	6.59844	7.1922	6.80537	7.2315	7.06118	7.87199	7.45252	7.54338	7.83939	7.0616	7.32417	7.87243	8.06354	7.37276	7.46919	6.8844	7.70782	7.65822	7.28904	7.8009	7.06042	7.44539	7.97485	7.33835	7.24273	8.03502	7.66087	6.0477	6.5141	6.27049	5.95993	6.53015	6.30367	7.55785	5.94959	6.63163	7.21365	7.25711	6.37736	6.47762	6.17335	6.44286	6.09882	7.2121	8.16679	7.58806	7.0566
pg_14712_TAS	11.231	9.91256	10.9248	10.0375	15.7591	16.4965	10.5075	26.8886	0	11.6049	11.9345	12.3911	9.4415	7.072	9.63392	11.5295	11.4193	10.1373	11.1311	10.0953	6.80614	6.93835	9.22184	11.484	9.38296	10.1924	10.701	9.44419	8.64133	10.6483	9.83824	9.67913	8.31635	9.7542	10.7926	11.2006	9.68303	9.63737	10.7552	8.89199	9.5623	8.1327	10.0183	11.1716	10.8391	10.2048	10.5885	10.0319	10.0569	9.87192	9.5918	9.08164	10.4955	10.0416	6.33943	6.63198	6.05126	6.98603	6.76894	6.86574	6.03012	6.67845	7.31274	7.03054	6.92899	7.63481	6.58794	7.23681	6.89303	6.79508	7.43065	7.58627	7.09954	7.90031	7.08177	7.09507	6.7743	6.99939	7.75279	6.94025	6.93827	7.4858	7.37751	7.1518	7.41413	7.64058	7.84754	7.56379	7.03272	7.72658	7.64126	6.62995	7.42018	6.20985	6.41249	7.27645	7.6614	7.40783	6.36462	9.22414	7.45648	6.82759	6.52108	7.03935	6.50106	6.56725	7.36659	7.82719	7.12471	7.16385	7.53963	7.41412	7.16359	7.97861	6.86812	7.16237	6.93054	10.6042	6.66184	6.81119	5.7497	6.06203	7.10926	6.48924	7.67373	7.9808	6.66317	6.29369	6.19999	6.2464	7.3307	7.12563	6.38221	6.90777	6.28486	6.61215	6.82163	6.56185	8.10712	7.24885	6.6274	5.87362	6.44046	8.1316	7.44816	6.47674	5.86701	6.65308	5.37348	6.03976	8.10846	7.7882	11.389	7.1996	7.13994	7.26274	7.44156	7.10262	6.76906	7.61308	7.25285	6.79467	7.99398	6.73247	7.13359	7.29176	7.04549	6.96014	7.59003	7.96569	6.26378	7.25117	7.33085	6.95035	7.27823	7.2583	7.575	7.08407	6.47583	7.15309	8.35063	8.79828	7.09506	7.39963	7.32227	7.8936	6.69361	7.99052	8.0565	6.72228	6.92875	7.58604	7.26525	7.41357	6.95382	7.18807	6.33722	5.83584	6.68448	6.8671	6.94397	5.84851	7.76569	6.25418	6.67888	6.04899	7.40661	6.59861	5.99771	5.9024	6.26884	6.06652	6.17019	8.69883	7.63384	7.12167
pg_14718_TAS	11.0764	9.667	11.1952	11.9451	11.3488	13.9483	10.8601	11.9586	11.341	0	13.3562	11.8404	9.77147	7.43635	9.93291	10.5269	10.1532	9.99269	10.0797	9.56313	6.94272	7.3162	11.1207	10.9534	11.1118	11.1225	10.0998	11.5035	8.84746	9.81465	9.61623	9.66467	10.2588	9.44844	10.1021	11.5348	10.5315	10.2691	10.7875	9.8932	10.0052	10.5513	10.9234	10.0387	10.384	11.0092	11.2233	10.6429	11.2052	10.245	10.6542	12.1677	11.3403	10.7548	7.02762	6.61859	6.32859	6.86091	7.2252	7.03368	6.14464	6.52705	7.10287	7.24445	7.33327	7.53071	7.63269	7.603	7.68981	6.93869	7.4548	7.4097	7.48757	7.48499	7.50279	7.11302	6.81209	7.18693	8.27855	7.27299	8.5043	8.32617	7.00172	7.25177	7.43881	7.39538	7.51216	7.48166	7.46427	7.48266	7.39058	7.64008	7.63327	6.53555	6.56713	6.83711	7.6468	7.26848	6.58739	7.10095	7.65197	6.97523	6.30464	7.16262	6.82954	7.14944	6.91595	7.8646	8.25699	7.20364	7.3196	7.28119	6.32897	7.19232	6.64528	6.20951	6.26487	6.37507	6.34278	6.3678	6.05945	6.05835	5.92618	6.36466	6.11592	7.73926	6.36174	6.27392	6.38025	6.2426	7.17884	6.54872	6.89852	7.61063	6.30926	6.50367	6.53806	7.13292	6.33925	6.9638	6.84213	6.04004	7.42655	7.33874	7.14582	6.76774	6.69803	6.99282	8.08213	6.71927	7.41	8.03997	7.52126	6.75448	8.37725	7.28485	7.30386	7.69404	7.19794	7.21807	7.43418	7.24505	7.05993	7.0358	7.71566	7.46975	6.96969	7.41379	7.31122	6.14165	7.39843	6.6704	7.2594	7.41929	7.34286	7.09784	7.26103	7.45576	7.49295	7.70328	7.70579	7.60555	7.55459	8.11531	7.60112	7.32856	7.76616	7.40125	7.36587	6.94184	7.1047	7.51876	7.15028	7.58261	7.64304	9.13636	6.78794	6.65338	6.44328	6.11431	6.51684	6.14787	7.48185	6.15168	6.52622	6.87301	7.20162	6.36405	6.4241	6.51736	6.64809	6.42326	6.60247	7.70642	7.78062	7.18374
